sentence,rating_imageability_mean,rating_others_thoughts_mean,rating_physical_mean,rating_places_mean,rating_valence_mean,rating_arousal_mean,rating_sense_mean
Arrange both windows as you like.,3.9166666666667,3.0,4.75,2.875,3.4615384615385,2.5333333333333,6.0
As for the real deal: taxes.,2.6428571428571,2.125,1.5333333333333,1.2857142857143,2.1333333333333,2.5714285714286,5.5555555555556
As if that would impress anyone.,2.6428571428571,3.7857142857143,1.8666666666667,1.0714285714286,1.3076923076923,2.7857142857143,6.8235294117647
As with ectopic division and apoptosis.,1.375,1.25,1.4615384615385,1.25,1.8125,1.2142857142857,4.0
Asked her question and did nothing.,2.2307692307692,4.1764705882353,1.6666666666667,1.2666666666667,1.5833333333333,2.0,4.7333333333333
"At least three, maybe four kids.",4.6842105263158,3.4,3.0769230769231,1.8823529411765,3.5,2.5,6.8
"Back to your cage, little bird.",5.0769230769231,4.3529411764706,5.0666666666667,4.3333333333333,1.8333333333333,3.5882352941176,7.0
Back with more right after this.,2.0666666666667,2.375,1.625,1.0714285714286,3.8823529411765,2.3333333333333,6.6666666666667
Balenciaga is her favorite European designer.,4.7857142857143,3.7142857142857,3.5333333333333,2.2857142857143,3.1538461538462,2.9285714285714,7.0
Bare concrete floor met unpainted drywall.,6.1333333333333,2.0,5.8571428571429,4.8571428571429,1.5,1.7333333333333,6.0
Be prepared for various weather conditions.,4.625,2.5714285714286,2.8,4.1111111111111,2.5,3.5294117647059,7.0
Because I couldn't work it out.,2.1428571428571,4.375,1.3888888888889,1.0666666666667,1.4666666666667,2.2666666666667,6.5454545454545
Because... I didn't think I would?,1.6923076923077,4.7058823529412,1.2,1.3333333333333,2.0833333333333,3.0588235294118005,6.3333333333333
"Become someone successful, or even famous.",3.625,4.6875,1.1538461538462,1.25,5.25,3.6428571428571,6.2222222222222
"Before that, he had no records.",2.5625,3.5294117647059,2.2666666666667,1.0,2.3125,2.0625,6.6363636363636
"Besides, it would be terribly unsafe.",2.4615384615385,4.3529411764706,1.6,1.9333333333333,1.3333333333333,4.2352941176471,6.8
Beyond the limits of the law.,2.9333333333333,2.7857142857143,1.5714285714286,1.1428571428571,2.0,3.2,6.8
"Boon Jin, you are the man!!!",2.5,4.8125,1.7222222222222,1.4666666666667,4.8666666666667,4.1333333333333,6.6363636363636
Both Tina and Vicky are excellent.,3.6428571428571,4.0,1.8,1.1428571428571,5.5384615384615,2.8571428571429,6.8823529411765
"Both mentally and physically, you're attracted.",3.625,5.4285714285714,1.6,1.1111111111111,4.8333333333333,4.8823529411765,5.7647058823529
"Both wearing white, untucked, long-sleeved shirts.",5.9333333333333,3.1764705882353,5.2352941176471,1.6428571428571,2.2941176470588,2.625,6.8
"Boy, I'm taking a deep breath.",5.0,5.4375,1.8461538461538,1.5,3.9375,3.0,6.2222222222222
Bright lights shining in my eyes.,6.0714285714286,3.8125,4.5333333333333,2.7142857142857,3.2,4.1428571428571,6.8333333333333
Bullets began to snap past him.,5.7692307692308,4.6111111111111,6.3571428571429,3.2666666666667,2.0,5.0,6.5333333333333
"Business in Silverburn Shopping Centre, Glasgow.",3.3846153846154,1.125,2.5,4.875,2.0526315789474,1.5384615384615,5.4705882352941
But I knowingly abuse their confidence.,2.5,5.5625,1.4444444444444,1.0666666666667,1.1333333333333,3.5333333333333,6.4545454545455
But I may be incredibly ill-advised.,2.3125,5.1764705882353,1.2666666666667,1.1052631578947,2.3125,2.4375,5.9090909090909
"But he had a dog, yeah?",4.2,3.8421052631579,3.9375,3.0,4.6470588235294,3.25,6.5
But her eyes betrayed the truth.,4.3571428571429,5.5,3.3333333333333,1.7142857142857,2.3333333333333,3.9285714285714,6.2777777777778
But it was a fun run.,3.8571428571429,4.375,3.7333333333333,3.0,5.2666666666667,4.1428571428571,6.8333333333333
But many U.S. customs confuse them.,3.0714285714286,3.5714285714286,1.8666666666667,2.1428571428571,1.6923076923077,2.2142857142857,6.1764705882353
But monopolies have been regulated before.,2.9333333333333,2.6842105263158,2.25,1.7142857142857,2.7058823529412,3.125,6.5625
But nothing like those stomach cramps.,3.5333333333333,5.4285714285714,3.3529411764706,1.6,1.2777777777778,2.9285714285714,6.6666666666667
"But please, not Mr. Boutros-Ghali again.",2.4375,3.3571428571429,2.125,1.25,2.1875,2.5,6.4705882352941
But that argument isn't always convincing.,2.5,4.6875,1.2307692307692,1.0833333333333,2.5,3.1428571428571,6.8888888888889
But that could cause another problem:,2.0,2.875,1.3571428571429,1.1875,1.5263157894737,3.9230769230769,6.6470588235294
But that is a minor factor.,2.125,2.25,1.0769230769231,1.0,3.0,1.5,6.5555555555556
But the job with the blacksmith?,2.4736842105263,2.2666666666667,3.0769230769231,1.9411764705882,3.1428571428571,2.5833333333333,5.4666666666667
But then again he could be!,1.5625,3.5555555555556,1.6923076923077,1.0625,4.0588235294118,4.4285714285714,6.8461538461538
But then somehow I stopped myself.,3.6,4.7142857142857,3.0,1.3333333333333,2.1666666666667,3.7142857142857,6.9166666666667
But two groups are in confrontation.,3.9285714285714,3.5625,3.8666666666667,2.2142857142857,2.1333333333333,3.2142857142857,6.5
Can I wear a long dress?,5.3125,4.0714285714286,5.7333333333333,1.5555555555556,2.9444444444444,3.1764705882353,7.0
Can we pursue him for robbery?,3.9285714285714,4.5714285714286,2.6666666666667,1.2142857142857,1.7692307692308,5.1428571428571,6.5294117647059
Can't go anywhere without an inhaler.,4.5,4.2142857142857,5.8666666666667,2.0,2.0,3.1428571428571,6.8823529411765
"Carefully though, he packed them away.",4.7333333333333,5.2857142857143,3.375,1.6315789473684,4.0588235294118,2.3888888888889,6.3529411764706
Carve one in your chosen medium.,2.8461538461538,3.0,3.4285714285714,1.6,2.9285714285714,2.5714285714286,6.0
"Cattle, wagons, horses, all going west.",6.1538461538462,2.0666666666667,6.3333333333333,4.625,3.5,2.2666666666667,6.5625
Central Park was across the roadway.,6.1428571428571,2.2857142857143,5.4,6.7142857142857,3.6923076923077,2.5,6.8823529411765
Check out the inspiration board below.,4.0,2.3333333333333,4.6,1.5625,4.1428571428571,2.5333333333333,6.5625
Check some of my reference books.,4.2666666666667,2.5263157894737,5.1875,2.4285714285714,3.2352941176471,2.25,6.75
Click here to sign the petition.,5.5625,2.7857142857143,3.6875,1.6666666666667,3.4375,2.0,7.0
"Cod, orange roughy, salmon, and tuna.",5.875,1.5714285714286,5.625,2.4166666666667,3.3125,1.5714285714286,5.2941176470588
Coldwell Banker Previews had the listing.,2.6,2.1875,1.9375,1.8571428571429,2.3529411764706,1.3888888888889,6.0
"Color-wise, silver and pink are good.",4.6923076923077,2.5882352941176,2.8,2.2,3.75,2.2352941176471,7.0
Confessing your sins is the escape.,3.3846153846154,4.8888888888889,1.2142857142857,1.6,2.7142857142857,4.5,6.0666666666667
"Consciously lying, he amended to himself..",2.0666666666667,4.6875,1.6875,1.0,2.1176470588235,3.1111111111111,4.5
Consequences to us could prove fatal.,2.25,5.0,2.5384615384615,1.1875,1.4117647058824,5.0714285714286,6.3846153846154
Could Serenvin Help You Fall Asleep?,2.3333333333333,2.2142857142857,3.2352941176471,1.4666666666667,2.1666666666667,1.7857142857143,6.5833333333333
Could a spark explode the fuel?,4.0666666666667,3.3571428571429,5.0625,2.3157894736842,2.0,4.7777777777778,6.6470588235294
Could this all be a test?,3.1666666666667,3.9411764705881995,2.25,1.5625,2.3076923076923,4.4,5.9166666666667
Could you loan it to me?,3.3125,3.9285714285714,3.3125,1.1666666666667,3.3125,2.5714285714286,7.0
Coupon three-month London Interbank Offered Rate.,1.6875,1.5555555555556,1.9230769230769,2.0,1.8823529411765,1.6428571428571,3.1538461538462
"Craig, darling are you in there?",4.625,5.0714285714286,1.4666666666667,1.6666666666667,3.3333333333333,3.1176470588235,6.7647058823529
"Crisp, fresh onion, just enough cilantro.",6.375,2.625,6.6153846153846,2.8333333333333,5.375,3.2857142857143,6.2222222222222
"Curing countless diseases, not just ours.",2.6923076923077,4.4666666666667,2.1333333333333,1.5625,6.2857142857143,3.2,6.25
Cut clay top and base pieces.,3.9333333333333,1.2631578947368,4.875,2.5,2.8823529411765,2.0,4.5625
"Dan Schorr, of course, joins us.",2.9230769230769,3.0666666666667,2.0666666666667,1.0625,3.2142857142857,1.5333333333333,5.9375
"Day before tomorrow, day after yesterday.",2.1538461538462,1.25,1.1428571428571,1.4375,2.7368421052632,1.5384615384615,5.0588235294118
Dennis doesn't recall that it happened.,4.2,4.8421052631579,1.875,2.0,2.1176470588235,3.25,6.8125
Describing migration and life history patterns.,2.4615384615385,2.4705882352941,2.2,2.7333333333333,2.4166666666667,2.2352941176471,6.1333333333333
Did permission have to be granted?,2.3846153846154,2.8888888888889,1.0714285714286,1.1333333333333,2.2857142857143,2.8571428571429,6.8
Did you have a medical examination?,3.9375,4.5625,2.5384615384615,2.75,2.375,3.1428571428571,6.9444444444444
Did your wishes ever come true?,2.8666666666667,4.5294117647059,1.7647058823529,1.3571428571429,4.3529411764706,4.1875,7.0
"Dirty, smelly clothes littered the floor.",6.5384615384615,3.7777777777778,6.8571428571429,4.2666666666667,1.2857142857143,2.8571428571429,6.9333333333333
Diver on crew boat retrieves cargo.,5.4615384615385,2.8823529411765,6.0666666666667,5.7333333333333,3.0833333333333,3.2352941176471,6.4666666666667
Do any stand out in particular?,2.375,3.4705882352941,2.0,1.2105263157895,2.5,2.5625,6.7272727272727
Do not betray me in this.,3.0666666666667,5.5263157894737,1.875,2.0714285714286,2.0588235294118,5.125,6.0625
Do you have 2 memory DIMMS?,2.0,2.3571428571429,3.125,1.2631578947368,2.1176470588235,1.5,4.8235294117647
Do you have any Japanese foods?,4.8947368421053,3.5333333333333,3.6153846153846,2.3529411764706,4.2857142857143,2.8333333333333,6.8
Do you worship at their temple?,3.6923076923077,4.0,4.0714285714286,5.0666666666667,2.5,2.2142857142857,6.8666666666667
Does he have a name badge?,3.1538461538462,2.9411764705881995,5.1333333333333,2.1333333333333,2.1666666666667,2.2941176470588,6.9333333333333
Don't be in a hurry though.,2.6153846153846,3.4666666666667,1.8,1.25,2.8571428571429,2.3333333333333,6.6875
Doubly important ones can be asterisked.,2.8125,1.9411764705882,1.8666666666667,1.1052631578947,2.5625,2.4375,6.0
Down by the abandoned train station.,6.0769230769231,1.6875,4.7857142857143,5.4375,2.2631578947368,3.1538461538462,6.7058823529412
Each block can be individually deleted.,3.4375,1.4705882352940998,3.7333333333333,1.4736842105263,2.6875,2.0625,6.7272727272727
Each has its own elected officials.,2.8461538461538,2.0,1.4,2.4,2.25,1.6470588235294,6.6
Elizabeth Way was the first operator.,2.625,3.1176470588235,1.6666666666667,1.0526315789474,2.5625,2.25,6.2727272727273
"Ellie, it was a formal party...",5.0,4.4736842105263,2.75,3.7142857142857,3.0,3.5625,6.125
"Emilio, stand up for a second.",4.6153846153846,3.1764705882353,3.7333333333333,1.8666666666667,2.0,2.7058823529412,7.0
Enjoy and stay connected with us!!,2.3125,5.3125,1.4615384615385,1.4166666666667,5.3125,3.7857142857143,6.5
Enough of all this tedious self-justification.,2.3125,5.375,1.1538461538462,1.0,2.0625,3.0714285714286,6.6666666666667
Especially the priest in our church.,3.0,2.8125,3.625,3.7142857142857,2.2941176470588,2.2777777777778,6.3333333333333
Estimated electricity use in residential sector.,3.0526315789474,1.2666666666667,2.0769230769231,2.0588235294118,2.6428571428571,1.4166666666667,5.7333333333333
Eventually some of them became legends.,3.0625,4.25,1.3846153846154,1.1666666666667,5.6875,4.2142857142857,6.8333333333333
"Eventually the bleeding stopped, buying time.",4.4285714285714,5.625,3.0555555555556,1.6,3.0,4.2666666666667,6.5454545454545
Every meeting needs to be strong.,2.375,3.25,1.5384615384615,1.25,4.0,2.9285714285714,5.2222222222222
Every now and then she stopped.,4.4,4.4705882352941,2.0588235294118,1.0714285714286,2.4117647058824,2.8125,6.8
Every second counts on race day.,3.5714285714286,3.4375,3.1333333333333,3.0,4.0666666666667,4.4285714285714,6.9444444444444
Everyone finished eating every delicious bite.,4.75,5.5,5.4615384615385,2.375,5.8823529411765,4.3571428571429,6.9230769230769
Everyone is to be a participant.,3.2142857142857,3.0625,1.6111111111111,1.9333333333333,3.6,2.8666666666667,6.4545454545455
Everything changed for all of us.,3.3333333333333,5.0,2.25,2.2142857142857,3.5294117647059,4.5625,6.875
"Eyes turned to him, surprisingly bright.",4.5,5.0,3.7692307692308,1.5625,4.6470588235294,4.4285714285714,6.4615384615385
Faint bitterness and a relaxing flavor.,2.8666666666667,4.2857142857143,3.3529411764706,1.3333333333333,3.1666666666667,2.0,6.5833333333333
"Fairly sweet with solid, rounded body.",4.2666666666667,3.0,4.5,1.5,3.9166666666667,2.6,5.8
"Finally, he was this past Friday.",1.8333333333333,2.8235294117647,1.1875,1.1875,1.8461538461538,2.0666666666667,2.8333333333333
"First of all, visit Disney Store.",3.7142857142857,2.625,4.1666666666667,4.4666666666667,3.9333333333333,2.2666666666667,6.3636363636364
Fishes swimming in a turquoise paradise.,6.3846153846154,1.8125,5.4285714285714,5.875,5.8421052631579,3.7692307692308,6.3529411764706
Five Toes: Silkies have five toes.,3.1538461538462,1.625,4.6428571428571,1.4375,2.7368421052632,1.8461538461538,4.5882352941176
Fleas infected with plague literally starve.,3.625,3.0,5.6923076923077,2.0625,1.1764705882353,3.5714285714286,6.0
"Fleet National Bank, Hartford, is trustee.",2.1333333333333,1.0714285714286,2.2352941176471,4.0,1.6666666666667,1.2142857142857,5.1666666666667
Flexible packages to fit every budget.,2.5333333333333,2.3125,3.75,1.2142857142857,3.8235294117647,2.0555555555556,6.5
Floor to ceiling windows covered it.,5.75,1.7142857142857,5.6,4.1111111111111,3.2222222222222,2.7647058823529,5.8235294117647
For every room of the house.,3.0625,2.0555555555556,4.6923076923077,4.9375,3.0,2.0714285714286,6.9230769230769
"For example, text, textarea, checkbox etc.",1.2307692307692,1.0,2.0714285714286,1.125,2.1578947368421,1.3846153846154,4.7647058823529
"For purely constitutional reasons, of course.",2.5625,2.2857142857143,1.1333333333333,1.0555555555556,2.2222222222222,2.0,6.3529411764706
For what do the utopians labor??,1.5,2.9444444444444,2.0769230769231,1.5,2.1176470588235,3.5714285714286,5.1538461538462
Forgive me if I frighten you.,3.1538461538462,6.3333333333333,1.8,1.3125,2.2857142857143,4.0,6.875
Form clay strip into a cylinder.,4.8571428571429,1.6875,5.1666666666667,1.8666666666667,2.5333333333333,1.9333333333333,5.8181818181818
"Fortunately, she was not easily deterred.",4.0625,5.1428571428571,1.4,1.1111111111111,4.1666666666667,3.2941176470588,6.9411764705882
"Fred Mullen from Mercer Island, Wash.",2.1428571428571,2.0,2.6111111111111,4.1333333333333,2.5333333333333,1.3333333333333,5.6363636363636
Fredriksson was the acting news editor.,3.2857142857143,3.125,1.9444444444444,1.9333333333333,2.5333333333333,1.7333333333333,6.6363636363636
From northern waste to southern hill.,2.6,1.4285714285714,2.4117647058824,3.9333333333333,1.5555555555556,1.7857142857143,5.5833333333333
From some historian his father met.,3.0833333333333,3.2941176470588,1.8125,1.875,2.3846153846154,1.8666666666667,4.0
From the Baldy tunnel higher up.,1.6666666666667,1.2352941176471,2.4705882352941,2.3571428571429,1.8235294117647,1.75,3.4
"Frowning, Miss Ada studied the list.",5.3571428571429,5.25,2.8666666666667,1.9285714285714,1.9333333333333,2.5,6.8333333333333
Gabrielle manages a successful private practice.,4.5,4.4285714285714,2.875,3.1666666666667,5.4375,2.2857142857143,7.0
"Game on, Barney to throw first.",4.4666666666667,4.0,4.125,2.7142857142857,3.9411764705881995,4.1875,4.875
"General personality: Generous, conscientious, amiable, loyal.",2.2666666666667,3.4375,1.0625,1.3571428571429,4.9411764705882,2.3888888888889,6.2777777777778
Geometric theory applied to puzzle making?,2.5,1.75,3.2666666666667,1.9285714285714,2.6666666666667,2.0714285714286,5.8333333333333
"Get out of here, you guys.",4.0,3.5714285714286,2.3125,2.25,2.6875,4.0,6.7058823529412
Glam Morena: Tutorial: In Full Bloom.,1.3846153846154,1.4117647058824,1.2666666666667,1.8,2.1666666666667,1.8235294117647,3.7333333333333
"Goode was born in Exeter, Devon.",3.0,2.2142857142857,2.3529411764706,5.3333333333333,1.6111111111111,1.6428571428571,6.6666666666667
Grace and kindness was their strength.,3.2631578947368,5.6666666666667,1.1538461538462,1.4705882352940998,5.8571428571429,2.8333333333333,6.9333333333333
"Great food, big portions, honest prices.",4.6666666666667,3.4285714285714,5.0,2.5789473684211,6.0588235294118,3.9444444444444,6.8235294117647
Great water pressure in those pipes.,5.0,2.375,5.2666666666667,2.7857142857143,4.3333333333333,3.2142857142857,6.5
"Gross stopped briefly, then went on.",3.75,2.8235294117647,1.75,1.75,2.2307692307692,2.3333333333333,4.5833333333333
Growing vegetables and tending the garden.,5.6923076923077,2.8,6.0,5.5625,5.5,2.2,6.75
Guitar chords lent a soothing strum.,5.0,4.0,4.4615384615385,1.9411764705882,5.5714285714286,2.5833333333333,5.5333333333333
Hatched a Wobbuffet from the Egg.,3.5333333333333,2.0714285714286,4.625,2.0,3.3529411764706,2.0555555555556,3.2352941176471
Have we seen the prosecution judge?,3.2,3.8823529411765,2.0,2.8571428571429,1.9411764705882,2.75,6.3
"He allegedly bought 15,000 Skybox shares.",3.4,4.1764705882353,3.0,1.5,2.4705882352941,3.1875,6.6
He also admitted killing Mrs. Hengesbach.,3.8461538461538,5.2352941176471,4.4666666666667,1.9333333333333,1.3333333333333,5.7647058823529,6.8
"He asked, still sounding utterly disinterested.",4.3333333333333,5.7894736842105,2.0,2.2857142857143,1.8823529411765,3.0625,6.5
"He could be cruel, domineering, arrogant.",4.0625,6.625,1.2307692307692,1.0833333333333,1.25,3.1428571428571,6.7222222222222
He could not say a word.,4.2666666666667,5.0714285714286,2.6470588235294,1.2,1.4444444444444,3.2857142857143,7.0
He could smell the cooking meat.,5.9285714285714,4.3571428571429,5.4666666666667,2.9285714285714,5.3076923076923,4.3571428571429,6.7647058823529
He don't look nothing like Ricky.,3.7333333333333,4.3157894736842,2.4375,2.2857142857143,2.4117647058824,3.0,5.8125
He encouraged hostility and eventually war.,3.6923076923077,5.8888888888889,3.0,2.3333333333333,1.2857142857143,5.1428571428571,6.8666666666667
He felt his stomach for blood.,5.3125,5.7058823529412,4.5333333333333,1.5263157894737,1.1875,4.75,5.5454545454545
He felt more embarrassed than frightened.,3.6,5.1875,1.8125,1.0714285714286,2.0,3.7222222222222,7.0
He felt silently and secretly fulfilled.,2.8461538461538,6.3333333333333,1.7333333333333,1.0,4.8571428571429,3.0666666666667,6.5625
He finally hit the ball back.,5.9230769230769,3.4375,6.5714285714286,2.8125,4.4736842105263,4.0769230769231,6.7647058823529
He gave me a great deal.,3.3076923076923,4.4705882352941,2.0666666666667,1.7333333333333,5.25,3.0588235294118005,6.9333333333333
He glanced wistfully out the window..,6.375,6.0714285714286,4.4,4.0555555555556,3.6111111111111,2.8235294117647,6.6470588235294
He had partners and an assistant.,4.1333333333333,3.0,2.7647058823529,1.4,2.0555555555556,1.8571428571429,6.9166666666667
He handed her the leather bag.,6.2307692307692,3.4117647058824,6.2,1.8,3.4166666666667,2.1176470588235,7.0
He has had a distinguished career.,3.4615384615385,5.1111111111111,1.5714285714286,1.3333333333333,4.4285714285714,2.5,6.9333333333333
He held out a duffel bag.,5.9166666666667,4.2352941176471,6.125,2.9375,2.3076923076923,2.9333333333333,6.75
He inspected it with obvious satisfaction.,4.6153846153846,6.0,2.2857142857143,1.4666666666667,4.2857142857143,3.1428571428571,6.7333333333333
